Date,Comp_Social,Neg_Social,Neu_Social,Pos_Social
2011-06-17,0.0,0.0,1.0,0.0
2011-06-20,-0.6808,0.092,0.908,0.0
2011-06-21,0.0258,0.07,0.8590000000000001,0.071
2011-06-22,-0.29600000000000004,0.21600000000000005,0.784,0.0
2011-06-23,0.9595,0.0,0.782,0.218
2011-06-28,0.0,0.0,1.0,0.0
2011-06-29,0.9819,0.0,0.741,0.259
2011-07-01,-0.6249,0.047,0.953,0.0
2011-07-04,0.7906,0.0,0.911,0.08900000000000001
2011-07-06,0.9556,0.0,0.425,0.575
2011-07-07,0.0,0.0,1.0,0.0
2011-07-08,0.0,0.0,1.0,0.0
2011-07-09,0.6486,0.0,0.773,0.227
2011-07-10,0.34700000000000003,0.08800000000000001,0.765,0.147
2011-07-11,0.0,0.0,1.0,0.0
2011-07-12,0.0,0.0,1.0,0.0
2011-07-15,0.7845,0.083,0.777,0.14
2011-07-18,0.6705,0.028,0.899,0.073
2011-07-19,0.8271,0.0,0.927,0.073
2011-07-21,0.0,0.0,1.0,0.0
2011-07-22,0.0,0.0,1.0,0.0
2011-07-26,-0.8807,0.274,0.726,0.0
2011-07-27,0.0,0.0,1.0,0.0
2011-07-28,0.0,0.0,1.0,0.0
2011-07-31,0.0,0.0,1.0,0.0
2011-08-02,0.0,0.0,1.0,0.0
2011-08-03,0.5719,0.064,0.833,0.104
2011-08-04,0.0,0.029,0.941,0.029
2011-08-05,0.0,0.0,1.0,0.0
2011-08-06,-0.0258,0.127,0.7509999999999999,0.122
2011-08-08,-0.8047,0.09,0.91,0.0
2011-08-09,-0.7783,0.274,0.726,0.0
2011-08-10,0.93,0.0,0.821,0.179
2011-08-11,-0.4215,0.078,0.922,0.0
2011-08-12,0.9944,0.012,0.898,0.08900000000000001
2011-08-13,-0.6369,0.094,0.879,0.026
2011-08-14,-0.29600000000000004,0.066,0.934,0.0
2011-08-16,-0.872,0.084,0.916,0.0
2011-08-17,0.0516,0.036000000000000004,0.928,0.037000000000000005
2011-08-18,0.975,0.019,0.838,0.14300000000000002
2011-08-19,-0.4939,0.11,0.89,0.0
2011-08-20,-0.2732,0.11,0.89,0.0
2011-08-21,0.9153,0.0,0.6990000000000001,0.301
2011-08-22,0.8957,0.0,0.914,0.086
2011-08-23,-0.9164,0.135,0.83,0.035
2011-08-24,-0.7783,0.29100000000000004,0.7090000000000001,0.0
2011-08-25,-0.2732,0.086,0.8740000000000001,0.04
2011-08-26,0.6597,0.0,0.924,0.076
2011-08-29,0.7814,0.0,0.977,0.023
2011-08-30,0.4019,0.0,0.955,0.045
2011-08-31,0.4019,0.0,0.87,0.13
2011-09-02,0.0,0.0,1.0,0.0
2011-09-05,0.0,0.0,1.0,0.0
2011-09-06,-0.8578,0.053,0.936,0.011
2011-09-07,-0.6908,0.133,0.867,0.0
2011-09-08,-0.25,0.048,0.952,0.0
2011-09-11,0.0,0.0,1.0,0.0
2011-09-12,-0.5321,0.062,0.884,0.054000000000000006
2011-09-13,-0.743,0.102,0.8759999999999999,0.021
2011-09-14,0.9794,0.0,0.723,0.277
2011-09-15,0.0,0.0,1.0,0.0
2011-09-16,0.9246,0.025,0.872,0.103
2011-09-17,-0.6759,0.202,0.7979999999999999,0.0
2011-09-18,0.0,0.0,1.0,0.0
2011-09-19,0.765,0.0,0.904,0.096
2011-09-20,0.6597,0.0,0.89,0.11
2011-09-22,-0.3818,0.258,0.606,0.136
2011-09-23,-0.743,0.133,0.867,0.0
2011-09-24,0.3818,0.0,0.809,0.191
2011-09-26,0.3182,0.093,0.789,0.119
2011-09-27,0.368,0.0,0.957,0.043
2011-09-29,0.6369,0.12,0.728,0.153
2011-10-04,0.7964,0.071,0.774,0.155
2011-10-07,0.5267,0.0,0.928,0.07200000000000001
2011-10-10,0.99,0.0,0.825,0.175
2011-10-12,0.9423,0.0,0.846,0.154
2011-10-14,0.0,0.0,1.0,0.0
2011-10-15,-0.2732,0.068,0.932,0.0
2011-10-17,0.9628,0.006,0.926,0.067
2011-10-18,-0.8176,0.116,0.8420000000000001,0.042
2011-10-19,0.0,0.0,1.0,0.0
2011-10-20,0.6808,0.0,0.728,0.272
2011-10-21,0.4404,0.0,0.775,0.225
2011-10-24,0.9442,0.0,0.907,0.093
2011-10-28,0.0,0.0,1.0,0.0
2011-10-30,0.9231,0.0,0.745,0.255
2011-10-31,0.4019,0.0,0.924,0.076
2011-11-02,0.7003,0.0,0.8420000000000001,0.158
2011-11-03,-0.2263,0.151,0.7190000000000001,0.129
2011-11-14,0.0,0.0,1.0,0.0
2011-11-15,0.5423,0.014,0.943,0.043
2011-11-16,0.5574,0.0,0.927,0.073
2011-11-17,0.4404,0.0,0.919,0.081
2011-11-18,-0.8225,0.09,0.882,0.028
2011-11-21,-0.7603,0.121,0.826,0.053
2011-11-22,0.9764,0.013,0.85,0.13699999999999998
2011-11-23,0.0,0.0,1.0,0.0
2011-11-24,0.9911,0.006,0.851,0.14300000000000002
2011-11-28,0.101,0.118,0.77,0.112
2011-12-01,0.9274,0.006999999999999999,0.933,0.06
2011-12-02,-0.7003,0.097,0.866,0.037000000000000005
2011-12-03,-0.5719,0.06,0.94,0.0
2011-12-06,0.9976,0.0,0.716,0.284
2011-12-09,0.9081,0.0,0.8079999999999999,0.192
2011-12-13,0.0,0.0,1.0,0.0
